run,i,B,K,xi,gamma,C,C_acc_train,C_acc_test,C_gap_acc,C_auroc_train,C_auroc_test,C_gap_auroc,C_auprc_train,C_auprc_test,C_gap_auprc,C_hinge_gap,Q_acc_test_max,Q_auroc_test_max,Q_auprc_test_max,Q_gap_acc_max,Q_gap_auroc_max,Q_gap_auprc_max,Q_hinge_gap_min
50,8,5,3,1,0.8,155,0.88,0.7333333333333333,0.14666666666666672,0.9296,0.8076444444444444,0.1219555555555556,0.9214811118237369,0.824087673707383,0.09739343811635393,0.3567822861439892,0.7666666666666667,0.855111111111111,0.8534759010606234,0.1466666666666666,0.12693333333333345,0.1171903333265003,0.29841224637296143
50,9,5,3,1,0.9,155,0.86,0.72,0.14,0.9424,0.8055111111111111,0.13688888888888895,0.9379311021498882,0.8193821896355247,0.1185489125143635,0.39767287505216464,0.8,0.8453333333333334,0.8471585181000618,0.1399999999999999,0.16799999999999993,0.13066404258121622,0.2958320273720798
50,10,5,3,1,1.0,155,0.86,0.6933333333333334,0.16666666666666663,0.9456,0.7950222222222222,0.1505777777777778,0.9393575135776053,0.8081157988726605,0.13124171470494483,0.4642457826740942,0.78,0.8529777777777777,0.8417941015069108,0.15333333333333332,0.13546666666666662,0.1283992189085379,0.3277067078764639
50,11,5,3,1,1.1,155,0.86,0.68,0.17999999999999994,0.9552,0.7875555555555556,0.16764444444444448,0.952141730546679,0.7955825499292617,0.15655918061741736,0.5157121362978211,0.7933333333333333,0.8572444444444445,0.8698962970345125,0.16666666666666663,0.18275555555555556,0.1699580317731264,0.41208930819672107
50,12,5,3,1,1.2,155,0.86,0.66,0.19999999999999996,0.9600000000000001,0.7857777777777778,0.17422222222222228,0.9549839607802136,0.7928367965357841,0.16214716424442954,0.5692346179311265,0.7733333333333333,0.8606222222222223,0.8660987839141178,0.18666666666666665,0.16782222222222232,0.15044829548540173,0.27969708040381686
50,13,5,3,1,1.3,155,0.86,0.6666666666666666,0.19333333333333336,0.9600000000000001,0.7832888888888889,0.17671111111111115,0.9549839607802136,0.7888214159008193,0.1661625448793943,0.6061989428745478,0.78,0.8663111111111111,0.860711400457785,0.16666666666666663,0.15484444444444434,0.133862203585428,0.37481025390317263
50,14,5,3,1,1.4,155,0.9,0.6733333333333333,0.22666666666666668,0.9616,0.7815111111111112,0.18008888888888885,0.9565781636787644,0.7856211709006022,0.17095699277816212,0.6411964685892073,0.76,0.8334222222222222,0.8320928507995166,0.24,0.18613333333333337,0.18565630294130808,0.3461175066721151
50,15,5,3,1,1.5,155,0.92,0.6666666666666666,0.2533333333333334,0.9696,0.7786666666666666,0.1909333333333334,0.9643093281331672,0.7837847045143732,0.18052462361879396,0.6908509956810527,0.7666666666666667,0.8652444444444444,0.8629606363130842,0.17333333333333334,0.14364444444444446,0.15960408881695975,0.24316488354522703
50,16,5,3,1,1.6,155,0.94,0.6466666666666666,0.29333333333333333,0.9568,0.7740444444444445,0.18275555555555545,0.9474856945420682,0.7810669121955274,0.16641878234654084,0.7559554780766102,0.76,0.8408888888888889,0.8354460955795178,0.21333333333333337,0.15875555555555554,0.1401929011343387,0.4020576190251871
50,17,5,3,1,1.7,155,0.94,0.6466666666666666,0.29333333333333333,0.96,0.7731555555555555,0.18684444444444448,0.952295218351592,0.7794105764469828,0.17288464190460928,0.7732937471999346,0.7466666666666667,0.8211555555555555,0.8392736373365162,0.19333333333333336,0.20853333333333335,0.20925002527524816,0.35916548549658084
50,18,5,3,1,1.8,155,0.94,0.6466666666666666,0.29333333333333333,0.9760000000000001,0.7742222222222223,0.20177777777777783,0.9714509465791334,0.7797008234182585,0.19175012316087492,0.7754445474147119,0.78,0.8944,0.8908360387952742,0.19999999999999996,0.16017777777777775,0.14633146109702833,0.3836053856566097
50,19,5,3,1,1.9,155,0.94,0.6666666666666666,0.2733333333333333,0.9776,0.7735111111111111,0.20408888888888888,0.9729842799124668,0.7778910162169755,0.1950932636954913,0.7798258680362053,0.7733333333333333,0.8586666666666667,0.8649486682047852,0.22666666666666668,0.1923555555555556,0.1898038639592995,0.3328316484820735
50,20,5,3,1,2.0,155,0.92,0.66,0.26,0.976,0.7735111111111113,0.20248888888888872,0.9716615285897156,0.7785813692003366,0.19308015938937895,0.7845887284606263,0.76,0.8325333333333333,0.8375591026715948,0.22666666666666668,0.2081777777777778,0.2153919521474814,0.43543456561322597
50,21,5,3,1,2.1,155,0.92,0.6533333333333333,0.2666666666666667,0.9776,0.7731555555555556,0.20444444444444443,0.9743281952563823,0.7777941340928758,0.19653406116350647,0.7889994480836762,0.7933333333333333,0.8456888888888889,0.8528755648299908,0.2333333333333334,0.1843555555555556,0.2149198866733829,0.40251647759828635
50,22,5,3,1,2.2,155,0.94,0.6533333333333333,0.2866666666666666,0.9776,0.7724444444444445,0.20515555555555554,0.9743281952563823,0.7764309670972764,0.19789722815910582,0.7880702393696377,0.7333333333333333,0.8270222222222222,0.8183684880854734,0.22666666666666668,0.20533333333333315,0.18773684587014539,0.5602545953792244
50,23,5,3,1,2.3,155,0.94,0.6533333333333333,0.2866666666666666,0.9776,0.7717333333333334,0.20586666666666664,0.9743281952563823,0.7760223567936418,0.1983058384627404,0.7859711945997271,0.82,0.8542222222222222,0.8613007133960288,0.2466666666666667,0.2558222222222222,0.24104716204444343,0.5063317936861879
50,24,5,3,1,2.4,155,0.94,0.6666666666666666,0.2733333333333333,0.9776,0.7733333333333333,0.2042666666666667,0.9743281952563823,0.7785471050505056,0.19578109020587664,0.7836680502757103,0.74,0.8204444444444445,0.8339093047285884,0.26,0.22471111111111108,0.25281244012414217,0.6082849033005648
50,25,5,3,1,2.5,155,0.94,0.6666666666666666,0.2733333333333333,0.9792,0.7745777777777777,0.20462222222222226,0.9768281952563822,0.7798638046385711,0.19696439061781112,0.781462879954302,0.7666666666666667,0.8241777777777777,0.8184365225917236,0.2666666666666666,0.24711111111111106,0.2104119333371669,0.5743021922262022
50,26,5,3,1,2.6,155,0.94,0.6666666666666666,0.2733333333333333,0.9792,0.7738666666666667,0.20533333333333326,0.9768281952563822,0.7805177820736183,0.19631041318276388,0.7947014221483281,0.7933333333333333,0.8899555555555555,0.887674724492256,0.24,0.22097777777777772,0.188509219439012,0.49130246739599426
50,27,5,3,1,2.7,155,0.94,0.68,0.2599999999999999,0.992,0.7726222222222221,0.2193777777777779,0.9922934472934474,0.7793405871965733,0.21295286009687409,0.8102282479382797,0.7466666666666667,0.8184888888888889,0.8149898798994181,0.26,0.2028444444444445,0.2106944021259094,0.7146398495527239
50,28,5,3,1,2.8,155,0.94,0.6666666666666666,0.2733333333333333,0.992,0.7708444444444444,0.22115555555555555,0.9922934472934474,0.7786876362158485,0.2136058110775989,0.8266219041831475,0.8,0.88,0.8940698899803201,0.23333333333333328,0.20568888888888892,0.21882580117040562,0.5453309657809908
50,29,5,3,1,2.9,155,0.94,0.68,0.2599999999999999,0.992,0.7696,0.22240000000000004,0.9922934472934474,0.7754427327360466,0.2168507145574008,0.8437833857514824,0.7933333333333333,0.8575999999999999,0.8771611052936706,0.23333333333333328,0.23502222222222224,0.2262442622168228,0.343658757727465
51,0,5,3,1,0.0,155,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
51,1,5,3,1,0.1,155,0.82,0.76,0.05999999999999994,0.9072,0.8474666666666666,0.059733333333333416,0.8944131365581075,0.8651472927064291,0.029265843851678408,0.123295858352298,0.7466666666666667,0.8432000000000002,0.8558214937876947,0.1466666666666666,0.13315555555555558,0.11809753036472226,0.09436556668698837
