seed,run,split,i,B,K,xi,gamma,C,C_acc_train,C_acc_test,C_gap_acc,C_auroc_train,C_auroc_test,C_gap_auroc,C_auprc_train,C_auprc_test,C_gap_auprc,C_hinge_gap,C_J_w,C_J_xi
43,1,1,18,5,3,1,1.8,31,0.925,0.7733333333333333,0.15166666666666673,0.9924242424242424,0.868302876706238,0.12412136571800447,0.9941460055096419,0.8750741298054021,0.11907187570423983,0.36873911505115886,79.2020316227418,5.653596428200066
43,1,1,19,5,3,1,1.9,31,0.925,0.7666666666666667,0.15833333333333333,0.9949494949494949,0.8666577742207994,0.12829172072869555,0.9962121212121213,0.8735359752376499,0.1226761459744714,0.37520078975510374,78.95915077646535,5.52311565649675
43,1,1,20,5,3,1,2.0,31,0.925,0.7666666666666667,0.15833333333333333,0.9949494949494949,0.8652349828820418,0.1297145120674531,0.9962121212121213,0.8719724663285345,0.12423965488358679,0.380034265367181,78.06492466915995,5.420868101421551
43,1,1,21,5,3,1,2.1,31,0.925,0.7633333333333333,0.16166666666666674,0.9949494949494949,0.8641678893779734,0.13078160557152152,0.9962121212121213,0.870442115020251,0.1257700061918703,0.3857750971357387,78.12454891996725,5.29394857241474
43,1,1,22,5,3,1,2.2,31,0.925,0.77,0.15500000000000003,0.9949494949494949,0.8632786447912499,0.13167085015824498,0.9962121212121213,0.870182278534618,0.12602984267750328,0.39286708810856197,79.88636538794336,5.111487580201453
43,1,1,23,5,3,1,2.3,31,0.925,0.77,0.15500000000000003,0.9949494949494949,0.8636788048552754,0.13127069009421954,0.9962121212121213,0.8702744648179833,0.125937656394138,0.39594873330223623,80.10434665935804,4.984285801471215
43,1,1,24,5,3,1,2.4,31,0.925,0.77,0.15500000000000003,0.9949494949494949,0.8616335423058111,0.1333159526436838,0.9962121212121213,0.8678552390365748,0.12835688217554653,0.40390699201415636,81.47947394149281,4.826157395701597
43,1,1,25,5,3,1,2.5,31,0.95,0.7633333333333333,0.18666666666666665,0.9949494949494949,0.858343337334934,0.13660615761456096,0.9962121212121213,0.8654339859037314,0.1307781353083899,0.41313081440121946,83.10207100413805,4.663771374359977
43,1,1,26,5,3,1,2.6,31,0.95,0.7633333333333333,0.18666666666666665,0.9949494949494949,0.8554088301987461,0.13954066475074878,0.9962121212121213,0.86283836270183,0.13337375851029132,0.4235763704065849,84.91113862939903,4.497882723716126
43,1,1,27,5,3,1,2.7,31,0.95,0.76,0.18999999999999995,0.9974747474747474,0.8522520119158775,0.1452227355588699,0.9980237154150198,0.8588613499435341,0.13916236547148564,0.43465434193939984,86.90296790023187,4.327733550712772
43,1,1,28,5,3,1,2.8,31,0.95,0.76,0.18999999999999995,0.9974747474747474,0.8492730425503534,0.148201704924394,0.9980237154150198,0.8553125783192351,0.14271113709578465,0.44587150004207354,89.04665396553926,4.153788770213257
43,1,1,29,5,3,1,2.9,31,0.95,0.7633333333333333,0.18666666666666665,0.9974747474747474,0.8450935929927527,0.15238115448199474,0.9980237154150198,0.8501634671087497,0.1478602483062701,0.45833690063915294,91.59312430433587,3.9667214865897833
43,1,2,0,5,3,1,0.0,31,0.55,0.49,0.06000000000000005,0.5,0.5,0.0,0.45,0.51,-0.06,0.11999999202398315,1.0097419586828951e-27,36.000000265867236
43,1,2,1,5,3,1,0.1,31,0.675,0.6166666666666667,0.05833333333333335,0.8459595959595959,0.7372282246231826,0.10873137133641331,0.7807444748234222,0.717705065607082,0.06303940921634021,0.12241101174395486,122.13887004731444,24.918126364639363
43,1,2,2,5,3,1,0.2,31,0.85,0.8,0.04999999999999993,0.9217171717171717,0.8756836067760437,0.04603356494112798,0.8680520486660838,0.8728451783672648,-0.004793129701181065,0.07577469082116262,164.6235099489109,17.614891268460312
43,1,2,3,5,3,1,0.3,31,0.875,0.8066666666666666,0.06833333333333336,0.9292929292929293,0.8770174736561291,0.05227545563680014,0.8860359865261827,0.8751171654624684,0.010918821063714224,0.09309895965838233,129.63478833109826,15.89776923549429
43,1,2,4,5,3,1,0.4,31,0.875,0.78,0.09499999999999997,0.9242424242424243,0.869014272375617,0.055228151866807296,0.8880006884908846,0.8642200677281249,0.023780620762759774,0.12314818175980602,109.81443172954846,14.955177294791442
43,1,2,5,5,3,1,0.5,31,0.875,0.7833333333333333,0.09166666666666667,0.9292929292929293,0.8697256680449957,0.059567261247933545,0.8977260021635667,0.8670981957638049,0.030627806399761814,0.1589414482869549,124.01324141005759,13.363414046173666
43,1,2,6,5,3,1,0.6,31,0.85,0.7766666666666666,0.07333333333333336,0.9419191919191918,0.863323107020586,0.07859608489860581,0.917303164132033,0.8587229324522001,0.05858023167983295,0.19267996810940247,122.50742310509065,12.49545322170809
43,1,2,7,5,3,1,0.7,31,0.85,0.7733333333333333,0.07666666666666666,0.9444444444444444,0.8666133119914633,0.07783113245298112,0.9192794487170133,0.8643634205420254,0.05491602817498786,0.19316470156813376,110.04171347025829,12.190227300611312
43,1,2,8,5,3,1,0.8,31,0.875,0.7866666666666666,0.08833333333333337,0.9469696969696969,0.8711929216130897,0.0757767753566072,0.9274143693519339,0.872055113396748,0.05535925595518587,0.19366000935301758,105.06611639266501,11.777255906588652
43,1,2,9,5,3,1,0.9,31,0.875,0.7866666666666666,0.08833333333333337,0.9469696969696969,0.8715930816771154,0.07537661529258155,0.9283159288061249,0.8775208978875411,0.05079503091858384,0.2049675752155376,101.04693573908145,11.393453685369353
43,1,2,10,5,3,1,1.0,31,0.875,0.7866666666666666,0.08833333333333337,0.9469696969696969,0.8738606553732604,0.0731090415964365,0.9283159288061249,0.881657827902504,0.04665810090362088,0.2046293378507073,93.262868311757,11.239982443347207
43,1,2,11,5,3,1,1.1,31,0.875,0.7933333333333333,0.08166666666666667,0.9469696969696969,0.878973811746921,0.06799588522277589,0.931248027571557,0.8892787103289868,0.04196931724257025,0.20477218250019147,91.351138509272,10.983897872341958
