run,i,B,K,xi,gamma,C,C_acc_train,C_acc_test,C_gap_acc,C_auroc_train,C_auroc_test,C_gap_auroc,C_auprc_train,C_auprc_test,C_gap_auprc,C_hinge_gap,C_J_w,C_J_xi,Q_acc_test_max,Q_auroc_test_max,Q_auprc_test_max,Q_acc_train_max,Q_auroc_train_max,Q_auprc_train_max,Q_gap_acc_max,Q_gap_auroc_max,Q_gap_auprc_max,Q_hinge_gap_min,Q_J_w_max,Q_J_w_min,Q_J_w_mean,Q_J_xi_max,Q_J_xi_min,Q_J_xi_mean
2,0,5,3,1,0.0,31,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,-1.0097419586828951e-28,50.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.075,50.00000000000001,50.0,50.0
2,1,5,3,1,0.1,31,0.84,0.7666666666666667,0.07333333333333325,0.9344,0.8661333333333333,0.0682666666666667,0.9404859519565403,0.848163110503393,0.09232284145314729,0.11704885812190402,228.38105741405118,23.19621495493452,0.7733333333333333,0.8958222222222223,0.8934720764316186,0.84,0.9376,0.9455651427079076,0.15999999999999992,0.15200000000000002,0.17969926484563936,0.08867336677849236,245.26294145370093,127.01666540684693,181.8150615761746,50.24108995802048,25.034105822105154,29.353790468731525
2,2,5,3,1,0.2,31,0.88,0.8066666666666666,0.07333333333333336,0.9488000000000001,0.8922666666666667,0.056533333333333435,0.9513585296529239,0.8685758333167728,0.0827826963361511,0.12509523898395275,175.18249314917824,17.29259799480108,0.84,0.9116444444444445,0.9037082691229124,0.9,0.9536,0.9559933087258434,0.09999999999999998,0.1265777777777778,0.2006992219196564,0.15446486047739982,330.19429565367,116.99545615286637,207.31790351931858,44.66257598621643,16.08753025181577,22.806266368682806
2,3,5,3,1,0.3,31,0.88,0.8066666666666666,0.07333333333333336,0.9648,0.8981333333333335,0.06666666666666654,0.9649868006606398,0.8766116205431189,0.08837518011752088,0.14051579389435848,145.98951634135295,15.404328543836913,0.8666666666666667,0.9208888888888889,0.9066970881190205,0.9,0.9663999999999999,0.9708306872956485,0.18666666666666665,0.17848888888888903,0.1940962286929233,0.14959092541302144,422.212865948437,162.24551684754482,291.453726173318,38.21341534883492,13.511305357499122,19.797288270320898
2,4,5,3,1,0.4,31,0.9,0.8133333333333334,0.08666666666666667,0.9712000000000001,0.8917333333333334,0.07946666666666669,0.9659035310317179,0.8722865664318659,0.09361696459985203,0.18489741895697243,156.10066059701515,13.327616246321597,0.8733333333333333,0.9233777777777776,0.8954497740751125,0.92,0.9696,0.9692237566478867,0.16666666666666674,0.1459555555555555,0.19278871064858372,0.27185104488244627,393.64574785379784,223.0700924714112,311.1610141278095,31.10855120610726,12.76593611129741,18.595855732618993
2,5,5,3,1,0.5,31,0.9,0.82,0.08000000000000007,0.9696,0.8942222222222224,0.07537777777777765,0.9643093281331672,0.8747770010911495,0.08953232704201763,0.1837385832775913,128.23843792865944,12.977071320186983,0.8466666666666667,0.9132444444444445,0.9053337612271668,0.92,0.976,0.9748648971166134,0.1133333333333334,0.1372444444444444,0.16452117459361248,0.24768757216134824,471.92494707183096,255.1284090898472,361.6389259064892,33.36697822724756,11.405329923861743,20.8741613627228
2,6,5,3,1,0.6,31,0.9,0.82,0.08000000000000007,0.9744,0.8986666666666667,0.07573333333333332,0.9701281952563822,0.8769713839522585,0.09315681130412368,0.20173444796027318,131.01376981894327,11.628934726106454,0.82,0.9084444444444445,0.8928075801015075,0.9,0.9712,0.9675291467952647,0.14666666666666672,0.13475555555555552,0.1832653522847396,0.3714490983698032,515.801294695826,282.8535010630081,386.720118142416,35.36780094465532,11.378892283252588,21.08130095139308
2,7,5,3,1,0.7,31,0.94,0.8133333333333334,0.1266666666666666,0.9808,0.8967111111111111,0.08408888888888888,0.9758857044138913,0.8731112141568141,0.10277449025707719,0.22268819345745533,129.09856402549678,10.80975391995792,0.8266666666666667,0.9018666666666666,0.8815409155957709,0.94,0.9728000000000001,0.9712804288465468,0.16666666666666674,0.14755555555555555,0.2055150221293186,0.4114557043388619,517.7180815291622,267.53567032485444,379.35512429852474,38.13433841766711,11.235713078569653,18.680893879614683
2,8,5,3,1,0.8,31,0.94,0.8,0.1399999999999999,0.9792,0.8864000000000001,0.09279999999999988,0.9730285615567484,0.8541816915999213,0.11884686995682714,0.2673566961828829,132.7749073934835,9.832595053952126,0.8533333333333334,0.9175111111111112,0.9077963864106057,0.92,0.9743999999999999,0.9737789133685607,0.1133333333333334,0.14062222222222232,0.20772901258348397,0.386541099393238,538.2834110135585,311.80170471913004,413.34357606891706,25.921986774656222,10.547322602093224,17.76494651486251
2,9,5,3,1,0.9,31,0.94,0.8,0.1399999999999999,0.9792,0.8830222222222223,0.0961777777777777,0.9730285615567484,0.8490021331204723,0.12402642843627609,0.2793313853381394,128.42888161940573,9.66319555756844,0.8266666666666667,0.9123555555555555,0.8968773658020721,0.92,0.976,0.9729606738888609,0.18000000000000005,0.16693333333333304,0.2032597385196382,0.5693577302201881,429.211577352037,304.21570353617034,359.0409510129799,27.42657266363256,12.2815500354709,18.23975239174842
